uri,artist_name,artist_total_followers,artist_image,genres,popularity
spotify:artist:5Lv2GUVwqmQBPwrTrxucE5,Os Barões Da Pisadinha,5936905,https://i.scdn.co/image/ab676161000051743a0010ed62a8a628629ddab7,"['arrocha', 'forro', 'piseiro']",77
spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,2601840,https://i.scdn.co/image/ab6761610000517405b70f90124c7e3ec23d0706,"['alt z', 'pop']",85
spotify:artist:2wkoKEfS6dXwThbyTnZWFU,Mau y Ricky,4754601,https://i.scdn.co/image/ab67616100005174510a7065a55766ec6206047f,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']",78
spotify:artist:1MIVXf74SZHmTIp4V4paH4,Mabel,1567587,https://i.scdn.co/image/ab67616100005174d7383d5b28dca9207c4ab728,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",76
spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,Weezer,2631580,https://i.scdn.co/image/ab676161000051747d6493f1716643ff37ef74da,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",77
spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD,Korn,5394344,https://i.scdn.co/image/ab6761610000517429af2ffb6f4ddd6324f878bc,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",78
spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,840871,https://i.scdn.co/image/ab676161000051742a1356370e5fce1b25df0ac9,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",76
spotify:artist:6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,4101977,https://i.scdn.co/image/ab676161000051748d9366c69233e844582cc215,"['neo mellow', 'pop']",83
spotify:artist:4OBJLual30L7gRl5UkeRcT,T.I.,4143989,https://i.scdn.co/image/ab6761610000517412057d342f33c61b3768f2bc,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79
spotify:artist:55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,963424,https://i.scdn.co/image/ab676161000051742240c4dd98d88f478113f632,"['dance pop', 'pop', 'post-teen pop']",75
